px1,py1,pz1,E1,px2,py2,pz2,E2
-5.76,-12,98.2,99.1,5.76,12,-18.2,22.5
33.5,7.14,54.4,64.3,-33.5,-7.14,-20.2,39.7
-36.3,18.9,756,757,36.3,-18.9,2300,2300
-44.3,11,-7.82,46.3,44.3,-11,-19.4,49.6
-27.6,-29.2,117,124,27.6,29.2,375,377
-3.05,9.13,715,715,3.05,-9.13,5.16,10.9
15.1,-12.6,-92.9,95,-15.1,12.6,15.3,24.9
44.2,-2.61,56.3,71.6,-44.2,2.61,25.5,51.1
-14.4,11.4,267,268,14.4,-11.4,5.19,19.1
15.2,29.1,168,171,-15.2,-29.1,22.2,39.6
30.9,-33.8,25.3,52.4,-30.9,33.8,41.5,61.8
2.35,-24.8,19.8,31.8,-2.35,24.8,-65.2,69.8
-21.5,11.5,-13.8,28,21.5,-11.5,79.5,83.1
-47.7,0.619,-426,428,47.7,-0.619,-423,425
-31.2,-30.8,-106,115,31.2,30.8,-40.6,59.7
-6.54,-23.3,153,155,6.54,23.3,2010,2010
-23.3,-6.3,-166,167,23.3,6.3,-2520,2520
42.6,6.34,-57.6,71.9,-42.6,-6.34,-49.9,65.9
40.9,-19.4,277,281,-40.9,19.4,441,443
-29.7,-24.7,-176,180,29.7,24.7,-408,410
38.6,-22.9,-20.8,49.4,-38.6,22.9,-25.9,51.8
-39.9,20.4,-77.8,89.8,39.9,-20.4,-114,122
31.7,-28,-595,597,-31.7,28,-263,267
-40.2,16.9,-35.2,56,40.2,-16.9,-11.3,45
18.9,20.9,9.24,29.6,-18.9,-20.9,145,148
1.07,15,13.3,20.1,-1.07,-15,597,597
29.8,-2.46,-312,313,-29.8,2.46,-39.4,49.5
41.2,-24.8,124,133,-41.2,24.8,115,124
-35,-27.6,1000,1000,35,27.6,687,689
19,4.74,130,131,-19,-4.74,-7.43,20.9
-29.1,-31,835,836,29.1,31,1760,1760
16.8,-26.1,-41.5,51.8,-16.8,26.1,27.6,41.6
12.1,-24.8,71.7,76.8,-12.1,24.8,-12.2,30.2
4.23,-46.6,-76.7,89.9,-4.23,46.6,-36,59
44.8,2.64,40,60.1,-44.8,-2.64,22.6,50.2
-15.9,34.6,84.2,92.4,15.9,-34.6,311,313
-27.6,-20.9,-1600,1600,27.6,20.9,-274,276
-16.2,-5.32,-435,435,16.2,5.32,-15.5,23
13.4,0.934,-167,167,-13.4,-0.934,7.95,15.6
6.24,39.6,-65.4,76.7,-6.24,-39.6,-205,209
-8.05,-32,-3.61,33.2,8.05,32,74.2,81.2
18.7,16.7,23.6,34.4,-18.7,-16.7,-23.5,34.3
-12.3,44.5,237,242,12.3,-44.5,260,264
-42.7,10.8,487,489,42.7,-10.8,821,822
-9.19,-25.4,26.7,38,9.19,25.4,-48.7,55.7
34.5,-30.8,857,858,-34.5,30.8,822,823
12.5,37.9,181,185,-12.5,-37.9,56.5,69.2
-35,27.9,-540,541,35,-27.9,-880,881
18.5,-16,-2.52,24.6,-18.5,16,104,107
-19,-31.5,-348,350,19,31.5,-107,113
25.2,-36.7,-611,612,-25.2,36.7,-943,944
8.91,-22.4,-428,429,-8.91,22.4,-8.41,25.6
-30.4,-14.6,36.7,49.9,30.4,14.6,211,214
-19.4,9.81,-506,506,19.4,-9.81,-26.8,34.5
-25,-16.5,642,642,25,16.5,1540,1540
-22.8,8.41,-45.8,51.9,22.8,-8.41,30.4,38.9
-5.28,-12.6,584,584,5.28,12.6,6.81,15.2
-44.6,6.95,-1010,1010,44.6,-6.95,-1190,1190
24.6,-30.8,208,212,-24.6,30.8,698,699
18.3,32.8,-30.5,48.4,-18.3,-32.8,-170,174
-35.3,18.1,-58.7,70.8,35.3,-18.1,-2.27,39.7
-33.6,23.4,-138,144,33.6,-23.4,-339,342
-2.44,-45.6,-544,546,2.44,45.6,-342,345
21.7,-10.8,-16.5,29.3,-21.7,10.8,90.2,93.4
-32.6,-6.83,29.1,44.2,32.6,6.83,213,215
30.5,17.6,-2190,2190,-30.5,-17.6,-616,617
42.4,-1.01,185,190,-42.4,1.01,103,111
32.3,32.3,-20.6,50.1,-32.3,-32.3,-6.98,46.2
-26.5,-29.4,-307,310,26.5,29.4,-903,903
9.84,37.7,-246,249,-9.84,-37.7,-723,724
44.5,-4.46,-373,376,-44.5,4.46,-279,282
-38.2,14.2,-272,275,38.2,-14.2,-719,720
-40.4,-20,79.5,91.4,40.4,20,104,114
19,-23,-45.4,54.3,-19,23,26.2,39.7
-4.01,-5.05,-2240,2240,4.01,5.05,-21.5,22.4
7.67,-6.01,-4.85,10.9,-7.67,6.01,156,157
-23.9,-31.9,474,476,23.9,31.9,1370,1370
-33.1,-4.06,-18.3,38,33.1,4.06,-155,159
30.7,-5.6,72.8,79.2,-30.7,5.6,-4.06,31.4
-26.3,-8.79,-642,642,26.3,8.79,-100,104
-24.5,8.13,-7.92,27,24.5,-8.13,95.5,99
-33.6,-24.5,-223,227,33.6,24.5,-674,676
-1.98,-27,-993,994,1.98,27,-106,109
3.91,4.27,-20.6,21.4,-3.91,-4.27,-1940,1940
-18.5,41.1,235,239,18.5,-41.1,170,176
4.42,-29.3,46.7,55.3,-4.42,29.3,381,382
-40.1,15.3,-236,240,40.1,-15.3,-485,487
-31.2,33.9,-31.6,55.9,31.2,-33.9,-28.7,54.3
-19.3,-7.95,228,229,19.3,7.95,4.56,21.3
35.1,-12.6,-233,236,-35.1,12.6,-43.6,57.4
